Cube        ,db=3, M=0.300000, 0.415727
Cube LIB       ,db=10000, M=0.300000, 0.429606
Sphere      ,db=3, M=0.300000, 0.031209
Sphere LIB     ,db=3, M=0.300000 , 0.055054
ImpGreedy      ,db=3, M=0.300000, 0.023910
ImpGreedy LIB       ,db=0.300000, M=3, 0.100546
Cube        ,db=3, M=0.300000, 0.389813
Cube LIB       ,db=10000, M=0.300000, 0.390861
Sphere      ,db=3, M=0.300000, 0.036256
Sphere LIB     ,db=3, M=0.300000 , 0.127644
ImpGreedy      ,db=3, M=0.300000, 0.034146
ImpGreedy LIB       ,db=0.300000, M=3, 0.106963
Cube        ,db=3, M=0.300000, 0.348848
Cube LIB       ,db=10000, M=0.300000, 0.369870
Sphere      ,db=3, M=0.300000, 0.039852
Sphere LIB     ,db=3, M=0.300000 , 0.132874
ImpGreedy      ,db=3, M=0.300000, 0.042261
ImpGreedy LIB       ,db=0.300000, M=3, 0.122572
Cube        ,db=3, M=0.300000, 0.344811
Cube LIB       ,db=10000, M=0.300000, 0.356850
Sphere      ,db=3, M=0.300000, 0.044440
Sphere LIB     ,db=3, M=0.300000 , 0.147159
ImpGreedy      ,db=3, M=0.300000, 0.041426
ImpGreedy LIB       ,db=0.300000, M=3, 0.122271
Cube        ,db=3, M=0.300000, 0.324112
Cube LIB       ,db=10000, M=0.300000, 0.384913
Sphere      ,db=3, M=0.300000, 0.047189
Sphere LIB     ,db=3, M=0.300000 , 0.172216
ImpGreedy      ,db=3, M=0.300000, 0.047054
ImpGreedy LIB       ,db=0.300000, M=3, 0.169609
Cube        ,db=3, M=0.300000, 0.321176
Cube LIB       ,db=10000, M=0.300000, 0.398816
Sphere      ,db=3, M=0.300000, 0.050520
Sphere LIB     ,db=3, M=0.300000 , 0.189067
ImpGreedy      ,db=3, M=0.300000, 0.048974
ImpGreedy LIB       ,db=0.300000, M=3, 0.166910
Cube        ,db=3, M=0.300000, 0.314937
Cube LIB       ,db=10000, M=0.300000, 0.408418
Sphere      ,db=3, M=0.300000, 0.050220
Sphere LIB     ,db=3, M=0.300000 , 0.193682
ImpGreedy      ,db=3, M=0.300000, 0.046825
ImpGreedy LIB       ,db=0.300000, M=3, 0.161954
Cube        ,db=3, M=0.300000, 0.308424
Cube LIB       ,db=10000, M=0.300000, 0.417484
Sphere      ,db=3, M=0.300000, 0.047565
Sphere LIB     ,db=3, M=0.300000 , 0.180283
ImpGreedy      ,db=3, M=0.300000, 0.044841
ImpGreedy LIB       ,db=0.300000, M=3, 0.151637
Cube        ,db=3, M=0.300000, 0.313903
Cube LIB       ,db=10000, M=0.300000, 0.399849
Sphere      ,db=3, M=0.300000, 0.047592
Sphere LIB     ,db=3, M=0.300000 , 0.183613
ImpGreedy      ,db=3, M=0.300000, 0.046446
ImpGreedy LIB       ,db=0.300000, M=3, 0.167629
Cube        ,db=3, M=0.300000, 0.308903
Cube LIB       ,db=10000, M=0.300000, 0.402505
Sphere      ,db=3, M=0.300000, 0.047730
Sphere LIB     ,db=3, M=0.300000 , 0.180119
ImpGreedy      ,db=3, M=0.300000, 0.046944
ImpGreedy LIB       ,db=0.300000, M=3, 0.170133
Cube        ,db=4, M=0.400000, 0.359258
Cube LIB       ,db=10000, M=0.400000, 0.500750
Sphere      ,db=4, M=0.400000, 0.047379
Sphere LIB     ,db=4, M=0.400000 , 0.063651
ImpGreedy      ,db=4, M=0.400000, 0.046384
ImpGreedy LIB       ,db=0.400000, M=4, 0.080620
Cube        ,db=4, M=0.400000, 0.253659
Cube LIB       ,db=10000, M=0.400000, 0.427420
Sphere      ,db=4, M=0.400000, 0.036744
Sphere LIB     ,db=4, M=0.400000 , 0.086651
ImpGreedy      ,db=4, M=0.400000, 0.037517
ImpGreedy LIB       ,db=0.400000, M=4, 0.077053
Cube        ,db=4, M=0.400000, 0.218544
Cube LIB       ,db=10000, M=0.400000, 0.393690
Sphere      ,db=4, M=0.400000, 0.046091
